source_id,x,y,flux_ref,spectral_index,is_extended,size_x,size_y
0,112.9832564637486,69.15472436301938,0.4951663074338345,-0.8316337942984559,0,0.0,0.0
1,12.018269438425909,97.43466330949592,0.15347968085922067,-0.694645549160983,0,0.0,0.0
2,103.42824937101499,89.88959249547841,0.4104214591640605,-0.8476294146975416,1,2.977041729611781,3.143774933612752
3,61.734901734266025,21.571816052834368,2.816677256721363,-0.6696205744064269,1,2.9143431360471985,3.72114498161489
4,106.3902668017091,24.433679625351218,5.158576725209123,-0.8655478095140033,0,0.0,0.0
5,64.28000341843261,52.45605854813491,1.3563072943610288,-0.8258799807186444,1,1.6549162763656544,4.304278403547281
6,63.816554649575345,14.910569893060819,0.328685131907769,-0.8877823984895045,1,3.708385142177162,2.6332467745804884
7,10.850124275184616,107.59640678666669,0.45521547098348825,-0.6559975418338978,0,0.0,0.0
8,15.766759633108169,40.81227122244937,2.7076455915042588,-0.7615614060359372,0,0.0,0.0
9,76.97895273827767,101.75334527982527,0.21434326642167362,-0.5478990477766067,1,3.93570909109743,2.5530653914845494
10,113.29168847575816,73.0907225495064,1.1154191207947932,-0.7766540911635169,1,3.553808237251393,3.733332003552245
11,44.77903305719953,83.6284880416052,1.9112927649502078,-0.846552461229766,0,0.0,0.0
12,27.957739753289903,61.186818215499514,0.2366733218665712,-0.8737667088093607,1,2.151751275188232,4.302211001488054
13,55.52372903370199,116.6568691364293,0.21099053965543968,-1.006957945782896,1,2.7468180678017733,2.136565695665879
14,42.48535746435846,62.18237964090637,0.9937263030660944,-0.9500453594264424,0,0.0,0.0
15,45.62067671822618,96.76228871175636,1.0426072745688701,-0.8285896990344033,0,0.0,0.0
16,112.68729923756243,105.98788452715267,0.15857324131786982,-0.8759813743629715,1,2.362449590133578,3.979679444127424
17,30.478292803539688,115.36673859937866,0.30328422667440313,-0.7998249379007659,1,1.674295101560021,4.356171282555259
