source_id,x,y,flux_ref,spectral_index,is_extended,size_x,size_y
0,11.710706687966113,106.23181740444281,3.189738807050071,-0.737793192629705,0,0.0,0.0
1,76.50915995283475,37.23106032592093,0.15369049812211397,-0.631983483473717,1,4.435938281697581,2.6128110929415205
2,67.15132554587635,97.68671191385546,0.45748914913716876,-0.868205973854953,1,4.27923233532211,3.4410196034582747
3,70.16490800306633,92.22374739917288,0.6656302523913613,-0.5586385963490827,0,0.0,0.0
4,59.2591206719659,63.26096151535293,0.5893196624813526,-0.6857900173742996,1,2.119673634635115,2.7838760909932203
5,65.4477337405188,35.737034484636006,1.3784283290367376,-0.3573005538017749,1,4.864471534072367,2.4735365425435494
6,41.850871302753696,111.59431422988452,0.18108414128078995,-0.639200590953982,1,4.8109737148108564,2.07942326979326
7,101.3291392872912,42.701890021504624,3.133818402289026,-0.5041640810510459,1,3.052342744257557,1.6297393698779858
8,68.42236552001808,58.55344601887937,1.7235509472541364,-0.868436838518114,0,0.0,0.0
9,27.06497780114538,37.42459494969944,1.1902351088422736,-0.7427552057168412,1,3.7902211885654395,4.292119056709678
10,22.416401346206083,104.54920652633373,1.8610054870169814,-0.5893088873788629,1,3.701656916727892,4.199312619665262
11,13.025523387696996,67.32238390800728,3.422731968839849,-0.6676270725449354,1,3.568100742847305,2.54873465201308
12,34.63018563099273,61.69622315862566,0.6703870595596281,-0.8205277213873227,0,0.0,0.0
13,27.287678148332,115.3152489273752,0.15566662432835568,-0.7690724886615342,1,1.9983190194581226,3.15716225840958
14,66.70984142751149,54.34763317734252,0.7915133774905383,-0.8072121943986039,1,2.9511555279574067,4.120913546792113
